city,province,city_area,builtup_area,reg_pop,resident_pop,gdp
安康,陕西,23391 ,40.00 ,304.80 ,265.00 , 772.46
商洛,陕西,19851 ,26.00 ,251.00 ,235.74 , 621.83
西安,陕西,10106 ,500.59 ,815.66 ,870.56 , 5810.03
铜川,陕西,3882 ,44.00 ,83.64 ,84.62 , 324.54
榆林,陕西,43578 ,70.00 ,377.46 ,340.11 , 2621.29
咸阳,陕西,10246 ,90.12 ,527.59 ,497.24 , 2155.91
宝鸡,陕西,18117 ,87.00 ,384.54 ,376.33 , 1788.59
渭南,陕西,13134 ,71.00 ,556.72 ,535.99 , 1469.08
延安,陕西,36712 ,36.00 ,235.50 ,223.13 , 1198.63
汉中,陕西,27246 ,36.00 ,385.21 ,343.81 , 1064.83
上海,上海,6341 ,1563.00 ,1433.62 ,2415.27 ,24964.99 
北京,北京,16410 ,1401.01 ,1347.90 ,2170.50 ,22968.60 
广州,广东,7434 ,1237.25 ,854.19 ,1350.11 ,18100.40 
深圳,广东,1997 ,900.00 ,369.64 ,1137.87 ,17502.80 
天津,天津,11760 ,885.43 ,1026.91 ,1546.95 ,16538.19 
重庆,重庆,82137 ,1329.45 ,3371.84 ,3016.55 ,15719.72 
苏州,江苏,8657 ,458.29 ,667.01 ,1061.60 ,14504.07 
武汉,湖北,8494 ,566.13 ,829.27 ,1060.77 ,10905.60 
成都,四川,12119 ,615.71 ,1228.10 ,1465.75 ,10801.16 
杭州,浙江,16596 ,506.09 ,723.55 ,901.80 ,10050.21 
南京,江苏,6587 ,755.00 ,653.40 ,823.59 ,9720.77 
青岛,山东,3231 ,566.40 ,783.09 ,909.70 ,9300.07 
无锡,江苏,4627 ,329.43 ,480.90 ,651.10 ,8518.26 
长沙,湖南,11820 ,312.30 ,651.19 ,743.18 ,8510.13 
佛山,广东,3868 ,158.05 ,388.97 ,743.06 ,8003.90 
宁波,浙江,9816 ,321.91 ,586.57 ,782.50 ,8003.61 
大连,辽宁,13237 ,395.50 ,593.60 ,698.55 ,7731.64 
郑州,河南,7446 ,437.60 ,770.00 ,957.00 ,7311.52 
沈阳,辽宁,12948 ,465.00 ,730.40 ,828.90 ,7272.31 
烟台,山东,2722 ,324.00 ,653.28 ,701.41 ,6446.08 
重庆主城九区,重庆,5473 ,593.00 ,652.19 ,834.82 ,6394.47 
东莞,广东,2465 ,932.05 ,195.01 ,825.41 ,6275.00 
南通,江苏,10549 ,204.72 ,766.77 ,730.00 ,6148.40 
泉州,福建,11245 ,206.50 ,722.45 ,847.50 ,6137.71 
唐山,河北,13472 ,249.00 ,733.90 ,780.12 ,6103.06 
济南,山东,3257 ,393.00 ,625.73 ,713.20 ,6100.23 
合肥,安徽,11445 ,416.00 ,717.72 ,778.95 ,5660.27 
福州,福建,11763 ,260.05 ,678.37 ,746.50 ,5618.08 
长春,吉林,20594 ,506.33 ,753.84 ,753.84 ,5530.03 
石家庄,河北,15848 ,278.05 ,977.41 ,1070.16 ,5440.59 
徐州,江苏,11765 ,255.20 ,1028.70 ,866.90 ,5319.88 
常州,江苏,4372 ,250.31 ,370.85 ,470.14 ,5273.15 
潍坊,山东,2006 ,178.00 ,893.71 ,927.72 ,5170.53 
温州,浙江,12065 ,238.40 ,811.21 ,911.70 ,4618.08 
绍兴,浙江,8279 ,199.40 ,443.11 ,496.80 ,4465.97 
鄂尔多斯市,内蒙古,86800 ,116.42 ,204.51 ,204.51 ,4226.13 
盐城,江苏,16931 ,142.37 ,828.03 ,722.85 ,4212.50 
淄博,山东,2989 ,267.00 ,429.60 ,464.20 ,4130.24 
扬州,江苏,6591 ,140.00 ,461.12 ,448.36 ,4016.84 
济宁,山东,1648 ,193.80 ,867.44 ,829.92 ,4013.12 
南昌,江西,7402 ,307.30 ,517.13 ,530.29 ,4000.01 
临沂,山东,2657 ,213.00 ,1124.04 ,1031.16 ,3763.17 
包头市,内蒙古,27700 ,195.79 ,282.93 ,282.93 ,3721.93 
泰州,江苏,5787 ,104.70 ,507.85 ,464.16 ,3687.90 
台州,浙江,9411 ,139.80 ,597.49 ,604.90 ,3553.85 
嘉兴,浙江,3915 ,115.78 ,349.48 ,458.50 ,3517.81 
镇江,江苏,3840 ,137.50 ,271.67 ,317.65 ,3502.48 
洛阳,河南,15200 ,209.37 ,700.00 ,674.00 ,3469.03 
厦门,福建,1652 ,317.10 ,211.15 ,383.50 ,3466.03 
东营,山东,3294 ,118.70 ,190.62 ,211.06 ,3450.64 
南宁,广西,22099 ,287.00 ,740.23 ,695.00 ,3410.08 
金华,浙江,10942 ,80.20 ,478.09 ,545.40 ,3402.34 
宜昌,湖北,21084 ,165.12 ,398.18 ,411.50 ,3384.80 
襄阳,湖北,19724 ,164.04 ,591.58 ,561.40 ,3382.12 
沧州,河北,13419 ,41.00 ,717.50 ,744.30 ,3320.63 
保定,河北,22100 ,185.70 ,1155.28 ,1155.24 ,3300.56 
泰安,山东,2087 ,130.70 ,565.71 ,560.08 ,3158.39 
邯郸,河北,12000 ,127.03 ,942.77 ,943.30 ,3145.43 
惠州,广东,11200 ,238.89 ,357.07 ,475.55 ,3140.00 
呼和浩特市,内蒙古,17200 ,260.00 ,305.96 ,305.96 ,3090.52 
中山,广东,1784 ,138.89 ,158.68 ,320.96 ,3010.00 
威海,山东,2606 ,192.60 ,254.75 ,280.53 ,3001.57 
贵阳,贵州,8034 ,299.00 ,391.88 ,462.18 ,2891.16 
岳阳,湖南,15019 ,97.00 ,564.89 ,562.92 ,2886.28 
南阳,河南,26509 ,149.45 ,1183.00 ,1002.00 ,2866.82 
漳州,福建,12874 ,65.65 ,502.08 ,498.00 ,2767.35 
德州,山东,1752 ,148.90 ,587.27 ,574.23 ,2750.94 
淮安,江苏,10030 ,155.00 ,564.45 ,487.20 ,2745.09 
太原,山西,6988 ,340.00 ,404.19 ,431.87 ,2735.34 
常德,湖南,18190 ,90.22 ,609.20 ,584.39 ,2709.02 
聊城,山东,1710 ,98.70 ,622.34 ,597.06 ,2663.62 
衡阳,湖南,15310 ,113.53 ,790.00 ,733.75 ,2601.57 
*顺德,广东,806 ,140.00 ,128.49 ,253.53 ,2586.60 
廊坊,河北,6500 ,93.10 ,413.33 ,456.32 ,2473.86 
芜湖,安徽,6026 ,165.00 ,384.79 ,365.45 ,2457.32 
茂名,广东,11445 ,120.39 ,785.84 ,608.08 ,2445.60 
菏泽,山东,1415 ,99.60 ,1003.06 ,850.03 ,2400.96 
吉林,吉林,27711 ,185.00 ,426.24 ,426.24 ,2394.19 
湛江,广东,12490 ,108.95 ,822.96 ,724.14 ,2380.00 
滨州,山东,3763 ,138.30 ,389.07 ,385.90 ,2355.33 
鞍山,辽宁,9252 ,170.90 ,346.00 ,361.15 ,2337.00 
株洲,湖南,11262 ,137.98 ,403.70 ,400.05 ,2335.11 
柳州,广西,18597 ,184.00 ,381.62 ,390.46 ,2298.62 
江门,广东,9541 ,150.00 ,391.41 ,451.95 ,2240.00 
许昌,河南,4996 ,90.00 ,490.00 ,434.00 ,2171.16 
遵义,贵州,30763 ,66.00 ,792.70 ,619.21 ,2168.34 
连云港,江苏,7615 ,206.00 ,530.56 ,447.37 ,2160.64 
宿迁,江苏,8524 ,84.70 ,586.28 ,485.38 ,2126.19 
兰州市,甘肃,13300 ,305.30 ,321.90 ,369.31 ,2095.99 
周口,河南,11959 ,68.13 ,1142.00 ,881.00 ,2089.70 
湖州,浙江,5820 ,102.90 ,263.71 ,295.00 ,2084.26 
枣庄,山东,3076 ,149.30 ,407.77 ,387.80 ,2031.00 
珠海,广东,1701 ,123.64 ,112.45 ,163.41 ,2025.40 
郴州,湖南,19388 ,77.23 ,509.76 ,473.02 ,2012.07 
新乡,河南,8249 ,114.79 ,607.00 ,572.00 ,1975.03 
赣州,江西,39380 ,141.40 ,960.63 ,854.71 ,1973.87 
肇庆,广东,15056 ,117.45 ,438.27 ,405.96 ,1970.00 
桂林,广西,27809 ,99.00 ,528.97 ,494.04 ,1942.90 
焦作,河南,4071 ,111.20 ,371.00 ,353.00 ,1926.08 
九江,江西,18823 ,105.63 ,508.60 ,482.58 ,1902.68 
揭阳,广东,5240 ,129.00 ,701.68 ,605.89 ,1890.00 
信阳,河南,18000 ,89.00 ,870.00 ,640.00 ,1879.67 
通辽市,内蒙古,59500 ,61.20 ,312.08 ,312.08 ,1877.44 
安阳,河南,5599 ,81.00 ,582.00 ,512.00 ,1872.35 
汕头,广东,2064 ,253.60 ,550.46 ,555.21 ,1868.00 
赤峰市,内蒙古,90000 ,105.00 ,429.95 ,429.95 ,1861.27 
商丘,河南,10704 ,63.00 ,909.00 ,727.00 ,1812.16 
驻马店,河南,15000 ,75.10 ,905.00 ,696.00 ,1807.69 
邢台,河北,12486 ,90.12 ,718.63 ,729.44 ,1764.73 
龙岩,福建,19028 ,58.36 ,309.38 ,260.00 ,1738.49 
三明,福建,22929 ,37.45 ,284.21 ,252.00 ,1713.05 
湘潭,湖南,5015 ,79.81 ,299.94 ,282.37 ,1703.10 
绵阳,四川,20248 ,125.00 ,545.50 ,477.19 ,1700.33 
平顶山,河南,7882 ,73.40 ,544.00 ,496.00 ,1686.01 
日照,山东,2043 ,100.80 ,295.95 ,288.00 ,1670.80 
莆田,福建,4119 ,86.90 ,344.26 ,286.00 ,1655.60 
上饶,江西,22791 ,77.36 ,773.09 ,671.51 ,1650.81 
松原,吉林,21089 ,50.08 ,278.07 ,278.07 ,1637.30 
宜春,江西,18669 ,68.00 ,573.10 ,551.20 ,1621.02 
开封,河南,6266 ,129.09 ,517.00 ,454.00 ,1605.84 
德阳,四川,5910 ,74.55 ,390.00 ,351.32 ,1605.06 
呼伦贝尔市,内蒙古,253000 ,59.46 ,252.65 ,252.65 ,1596.01 
荆州,湖北,14067 ,98.68 ,643.19 ,570.59 ,1590.50 
黄冈,湖北,17457 ,38.16 ,744.42 ,629.10 ,1589.24 
宜宾,四川,13266 ,87.27 ,552.10 ,449.00 ,1525.90 
南充,四川,12477 ,115.34 ,742.30 ,636.40 ,1516.20 
营口,辽宁,5416 ,110.00 ,232.60 ,244.45 ,1513.75 
银 川 市,宁夏,8875 ,165.74 ,216.41 ,216.41 ,1493.86 
宁德,福建,13452 ,29.81 ,348.92 ,286.00 ,1487.36 
毕节,贵州,26852 ,42.50 ,905.32 ,660.61 ,1461.35 
孝感,湖北,8910 ,49.36 ,526.48 ,487.80 ,1457.20 
玉林,广西,12838 ,68.00 ,710.73 ,568.36 ,1445.91 
永州,湖南,22441 ,62.21 ,630.94 ,542.97 ,1418.18 
安庆,安徽,13590 ,85.00 ,525.48 ,458.61 ,1417.43 
荆门,湖北,12404 ,53.30 ,299.09 ,289.63 ,1388.46 
邵阳,湖南,21000 ,65.00 ,821.37 ,726.17 ,1387.00 
马鞍山,安徽,4049 ,93.00 ,228.50 ,226.22 ,1365.30 
张家口,河北,36860 ,86.00 ,462.31 ,442.17 ,1363.54 
承德,河北,39519 ,116.97 ,371.91 ,353.01 ,1358.73 
益阳,湖南,12144 ,75.00 ,480.82 ,441.02 ,1354.41 
泸州,四川,12236 ,120.07 ,505.70 ,428.52 ,1353.41 
达州,四川,16582 ,74.13 ,682.80 ,556.76 ,1350.76 
南平,福建,26281 ,41.24 ,319.86 ,263.00 ,1339.43 
吉安,江西,25219 ,55.05 ,505.50 ,489.90 ,1328.52 
濮阳,河南,4188 ,56.00 ,392.00 ,361.00 ,1328.34 
锦州,辽宁,10301 ,77.10 ,302.60 ,307.20 ,1327.33 
凉山,四川,60294 ,38.71 ,503.90 ,468.00 ,1314.84 
滁州,安徽,13398 ,84.00 ,449.06 ,401.71 ,1305.70 
乐山,四川,12723 ,74.34 ,353.80 ,326.05 ,1301.23 
十堰,湖北,23680 ,105.26 ,345.94 ,338.30 ,1300.12 
娄底,湖南,8118 ,62.20 ,447.70 ,387.18 ,1291.38 
清远,广东,19000 ,78.00 ,418.51 ,383.45 ,1277.80 
怀化,湖南,27600 ,64.00 ,525.85 ,490.16 ,1273.25 
资阳,四川,7960 ,45.20 ,503.70 ,356.93 ,1270.38 
阜阳,安徽,9775 ,122.00 ,1042.65 ,790.15 ,1267.45 
盘锦,辽宁,4071 ,74.90 ,129.50 ,143.85 ,1256.54 
蚌埠,安徽,5952 ,138.00 ,376.35 ,329.14 ,1253.05 
三门峡,河南,10496 ,56.00 ,229.00 ,225.00 ,1251.04 
秦皇岛,河北,7812 ,131.45 ,341.00 ,307.32 ,1250.44 
阳江,广东,7822 ,60.00 ,292.12 ,251.12 ,1250.00 
宿州,安徽,9787 ,75.00 ,649.51 ,554.12 ,1235.83 
四平,吉林,14382 ,57.87 ,326.41 ,326.41 ,1233.25 
黄石,湖北,4586 ,76.55 ,267.97 ,245.80 ,1228.11 
衡水,河北,8815 ,54.42 ,436.27 ,443.54 ,1220.01 
抚顺,辽宁,11271 ,138.00 ,215.80 ,207.60 ,1216.48 
六盘水,贵州,9914 ,71.68 ,333.84 ,288.99 ,1201.08 
内江,四川,5385 ,71.14 ,420.40 ,373.97 ,1198.58 
长治,山西,13864 ,76.60 ,400.15 ,342.04 ,1195.34 
运城,山西,14106 ,83.00 ,616.18 ,527.53 ,1174.01 
本溪,辽宁,8414 ,109.00 ,151.20 ,172.15 ,1164.69 
海口市,海南,2305 ,152.40 ,164.80 ,222.30 ,1161.96 
临汾,山西,20275 ,72.40 ,517.99 ,443.57 ,1161.11 
韶关,广东,18380 ,99.23 ,330.21 ,293.15 ,1149.90 
衢州,浙江,8845 ,71.00 ,256.38 ,213.30 ,1146.13 
自贡,四川,4381 ,112.08 ,327.50 ,277.02 ,1143.11 
抚州,江西,18817 ,59.13 ,417.80 ,399.28 ,1105.14 
丽水,浙江,17324 ,34.90 ,266.38 ,213.90 ,1103.29 
舟山,浙江,1455 ,62.00 ,97.36 ,115.20 ,1092.85 
梧州,广西,12572 ,56.00 ,343.92 ,298.75 ,1078.65 
大同,山西,14176 ,125.20 ,328.17 ,340.64 ,1053.37 
晋中,山西,16408 ,62.10 ,389.93 ,333.57 ,1046.12 
晋城,山西,9490 ,56.50 ,273.50 ,231.50 ,1040.24 
咸宁,湖北,10049 ,42.76 ,300.41 ,250.70 ,1030.07 
眉山,四川,7140 ,62.38 ,349.10 ,300.13 ,1029.86 
辽阳,辽宁,4744 ,104.90 ,179.00 ,184.75 ,1028.58 
六安,安徽,14990 ,74.00 ,580.53 ,474.12 ,1016.49 
广安,四川,6341 ,50.05 ,467.40 ,324.66 ,1005.61 
通化,吉林,15612 ,53.16 ,221.10 ,221.10 ,1001.21 
锡林郭勒盟,内蒙古,202600 ,42.00 ,104.26 ,104.26 ,1000.10 
漯河,河南,2617 ,66.00 ,279.00 ,263.00 ,992.59 
丹东,辽宁,15222 ,77.10 ,238.10 ,241.10 ,984.90 
百色,广西,36201 ,45.00 ,413.19 ,358.28 ,980.42 
宣城,安徽,12340 ,52.00 ,279.95 ,259.24 ,971.46 
梅州,广东,15925 ,56.00 ,543.79 ,434.08 ,959.70 
吕梁,山西,21095 ,24.20 ,447.25 ,383.22 ,955.80 
新余,江西,3178 ,76.00 ,120.50 ,116.67 ,946.80 
钦州,广西,10895 ,93.00 ,404.10 ,319.49 ,944.42 
亳州,安徽,8374 ,56.00 ,634.95 ,504.69 ,942.61 
攀枝花,四川,7401 ,74.08 ,110.60 ,123.25 ,925.18 
遂宁,四川,5323 ,75.94 ,378.80 ,329.00 ,915.81 
乌兰察布市,内蒙古,55000 ,60.00 ,211.13 ,211.13 ,913.77 
萍乡,江西,3802 ,50.87 ,192.40 ,190.11 ,912.39 
铜陵,安徽,3008 ,76.00 ,170.43 ,159.22 ,911.60 
潮州,广东,3614 ,74.43 ,272.80 ,264.05 ,910.10 
黔南州(都匀),贵州,26195 ,32.00 ,414.30 ,324.22 ,902.91 
朔州,山西,10700 ,53.60 ,205.79 ,176.22 ,901.13 
淮南,安徽,5571 ,108.00 ,383.39 ,343.11 ,901.08 
北海,广西,3337 ,73.00 ,171.97 ,161.47 ,891.94 
巴彦淖尔市,内蒙古,64400 ,51.00 ,167.73 ,167.73 ,887.43 
贵港,广西,10602 ,71.00 ,548.94 ,427.47 ,865.20 
延边州,吉林,43474 ,35.50 ,213.58 ,213.58 ,858.84 
朝阳,辽宁,19736 ,57.10 ,340.90 ,296.25 ,854.73 
万州区,重庆,3453 ,65.00 ,175.47 ,160.74 ,828.22 
涪陵区,重庆,2941 ,50.00 ,116.19 ,114.08 ,813.19 
黔东南州(凯里),贵州,30339 ,67.00 ,473.05 ,348.54 ,811.55 
河源,广东,15821 ,36.11 ,366.41 ,307.35 ,810.00 
黔西南州(兴义),贵州,16805 ,43.50 ,351.80 ,282.16 ,801.65 
随州,湖北,9636 ,78.00 ,250.97 ,219.08 ,785.26 
景德镇,江西,5248 ,78.68 ,166.70 ,164.05 ,772.06 
铜仁,贵州,18003 ,34.68 ,437.41 ,312.24 ,770.89 
汕尾,广东,4838 ,45.00 ,358.96 ,302.16 ,762.00 
淮北,安徽,2741 ,85.00 ,216.50 ,217.88 ,760.39 
铁岭,辽宁,13000 ,57.00 ,300.40 ,265.70 ,740.90 
鄂州,湖北,1596 ,40.07 ,110.29 ,105.95 ,730.01 
辽源,吉林,5140 ,46.30 ,120.80 ,120.80 ,726.64 
葫芦岛,辽宁,10415 ,85.90 ,280.10 ,255.60 ,720.17 
鹤壁,河南,2182 ,64.12 ,163.00 ,161.00 ,715.65 
云浮,广东,7779 ,28.41 ,298.93 ,246.05 ,713.00 
白城,吉林,25759 ,42.87 ,196.67 ,196.67 ,699.68 
崇左,广西,17332 ,28.00 ,248.80 ,204.71 ,682.82 
忻州,山西,25472 ,30.50 ,368.10 ,314.13 ,681.24 
恩施州,湖北,24061 ,36.00 ,402.61 ,332.70 ,670.81 
白山,吉林,17505 ,47.02 ,125.37 ,125.37 ,668.55 
莱芜,山东,2246 ,120.00 ,128.32 ,135.16 ,665.83 
鹰潭,江西,3554 ,33.80 ,124.00 ,115.33 ,639.26 
安顺,贵州,9267 ,66.30 ,296.11 ,231.35 ,625.41 
防城港,广西,6238 ,38.00 ,95.61 ,91.32 ,620.71 
河池,广西,33475 ,23.00 ,424.54 ,346.41 ,618.03 
庆阳市,甘肃,27900 ,24.30 ,267.31 ,223.05 ,609.43 
江津区,重庆,3216 ,48.85 ,149.53 ,133.19 ,605.59 
广元,四川,16311 ,56.34 ,305.30 ,263.00 ,605.43 
仙桃,湖北,2520 ,26.51 ,156.08 ,115.50 ,597.61 
阳泉,山西,4452 ,50.60 ,164.22 ,139.83 ,595.70 
永川区,重庆,1579 ,60.00 ,113.15 ,109.61 ,570.34 
乌海市,内蒙古,1700 ,62.30 ,55.58 ,55.58 ,559.83 
来宾,广西,13411 ,41.00 ,265.84 ,217.29 ,557.93 
潜江,湖北,1930 ,25.69 ,101.77 ,95.80 ,557.57 
天水市,甘肃,14400 ,56.00 ,367.17 ,331.17 ,553.77 
酒泉市,甘肃,19600 ,51.50 ,101.32 ,111.54 ,544.80 
池州,安徽,8272 ,37.00 ,161.61 ,143.63 ,544.74 
